CODE,Age,Gender,Annual_Income,Family_Type,Devices_Owned_Raw,Daily_Screen_Time,Daily_Study_Hours,Physical_1,Physical_2,Physical_3,Physical_4,Psychological_1,Psychological_2,Psychological_3,Psychological_4,Academic_1,Academic_2,Academic_3,Academic_4,Social_1,Social_2,Social_3,Social_4,Habit_1,Habit_2,Habit_3,Habit_4
1,2,1,3,2,2,1,4,2,2,1,1,2,1,1,1,1,1,2,1,1,2,1.0,1,1,2,1,2
2,1,1,4,1,4,1,4,4,4,2,5,5,1,1,2,3,5,1,2,2,1,2.0,1,1,4,1,2
3,2,1,3,1,1,2,3,4,2,1,1,1,3,1,1,1,2,1,1,1,2,1.0,1,1,2,1,1
4,1,2,1,1,1,1,4,3,2,1,3,4,1,1,3,3,4,1,2,3,4,2.0,4,1,5,1,4
5,2,2,3,2,1,2,2,3,2,2,1,4,3,2,4,3,4,2,4,2,3,4.0,4,2,3,2,4
6,2,2,3,1,1,2,4,5,2,1,1,4,4,1,4,1,4,1,1,1,1,1.0,1,1,1,1,2
7,2,2,2,1,1,2,2,3,2,1,2,2,4,4,3,3,2,2,4,4,2,3.0,4,3,1,1,1
8,2,2,2,2,1,2,4,3,2,1,4,2,2,5,1,5,3,1,4,4,2,2.0,2,1,2,2,5
9,2,2,2,2,1,3,3,3,2,4,2,4,3,2,2,5,4,4,2,2,2,1.0,2,3,4,4,2
10,2,2,2,1,1,1,3,4,2,4,1,4,3,2,2,2,1,2,2,1,1,2.0,2,1,4,2,4
11,2,2,2,2,1,1,3,4,2,4,1,4,3,2,2,1,1,2,2,1,1,2.0,2,1,2,2,1
12,2,2,2,2,1,2,4,3,1,4,1,2,3,2,2,3,2,3,2,1,3,5.0,1,2,4,5,1
13,2,2,2,2,3,2,3,2,1,4,1,3,2,2,2,1,2,3,2,1,3,1.0,1,2,4,2,2
14,2,2,2,2,1,1,3,2,1,3,1,4,2,1,1,1,2,3,4,1,3,4.0,1,2,4,2,3
15,2,2,3,2,2,2,3,2,2,1,1,3,2,1,2,1,2,1,1,1,1,1.0,1,1,1,2,1
16,2,2,3,2,1,2,2,2,2,1,3,3,2,1,2,2,1,1,1,1,1,1.0,1,2,1,1,3
17,2,2,2,1,1,2,3,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1.0,1,1,2,1,1
18,2,1,4,1,1,2,4,4,2,1,2,1,3,2,2,5,1,2,4,1,1,1.0,1,2,5,4,1
19,2,1,4,1,1,2,3,4,2,1,5,1,3,2,2,5,1,2,4,1,1,1.0,1,2,2,4,2
20,2,1,4,1,1,2,3,3,2,1,5,1,3,2,2,1,2,3,3,1,1,1.0,4,2,2,1,1
21,2,1,4,1,1,1,4,2,2,4,2,2,2,1,1,4,1,1,3,1,1,1.0,1,1,2,2,1
22,2,1,2,2,1,1,2,2,2,3,2,4,4,3,4,2,1,3,3,1,1,3.0,2,1,1,3,3
23,1,1,4,2,1,2,2,2,1,3,1,1,4,2,4,2,4,1,3,1,1,1.0,2,1,3,4,1
24,1,1,4,2,1,1,2,1,1,3,3,3,4,1,1,1,4,1,3,2,1,1.0,4,1,1,1,1
25,1,1,4,1,1,2,2,4,2,1,1,1,3,2,4,2,1,3,2,1,2,2.0,1,2,1,3,1
26,1,1,3,1,1,2,3,3,1,3,2,1,1,1,3,1,1,2,4,1,3,2.0,3,1,1,5,1
27,2,1,2,2,1,2,3,4,4,2,4,2,2,1,1,3,2,1,4,2,2,2.0,2,3,2,2,4
28,2,1,1,1,1,1,2,3,2,4,4,2,2,1,1,4,2,4,2,2,4,3.0,2,2,4,4,2
29,2,1,3,1,1,1,3,3,3,5,2,1,3,1,3,1,1,2,2,1,3,1.0,1,1,2,1,1
30,1,1,4,2,1,1,1,4,2,1,5,2,5,1,5,5,2,2,4,2,4,2.0,1,1,2,4,1
31,1,1,4,1,1,2,3,4,2,1,4,2,5,1,2,4,2,2,4,2,1,2.0,1,1,2,4,1
32,2,1,4,2,1,2,3,3,3,1,5,4,5,1,5,3,2,3,3,2,1,3.0,2,4,3,3,1
33,1,1,3,1,2,1,4,2,2,2,2,2,2,3,5,2,2,3,4,2,2,2.0,2,2,3,2,1
34,2,1,4,1,1,1,4,5,5,4,3,1,5,1,4,5,1,5,4,1,1,1.0,1,1,1,1,1
35,2,1,2,1,1,1,4,5,1,5,3,1,1,3,1,1,4,3,4,1,1,1.0,1,1,1,5,1
36,2,1,4,1,1,1,3,3,4,1,3,4,4,1,5,2,1,3,2,1,3,2.0,1,1,2,1,1
